CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,CLV
14911,1,198,115420.82,5,5,5,555,Champions,22853322.360000003
14646,2,72,91434.3,5,5,5,555,Champions,6583269.600000001
12748,1,206,26754.675,5,5,5,555,Champions,5511463.05
13089,3,97,49430.52,5,5,5,555,Champions,4794760.4399999995
17841,2,124,38020.865,5,5,5,555,Champions,4714587.26
15311,1,91,34180.135,5,5,5,555,Champions,3110392.285
14156,10,54,50505.215,5,5,5,555,Champions,2727281.61
18102,1,60,45337.265,5,5,5,555,Champions,2720235.9
14298,8,44,39267.335,5,5,5,555,Champions,1727762.74
17511,3,31,42610.86,5,5,5,555,Champions,1320936.66
17450,8,46,28194.329999999998,5,5,5,555,Champions,1296939.18
13408,2,62,19334.11,5,5,5,555,Champions,1198714.82
15061,4,48,24400.055,5,5,5,555,Champions,1171202.6400000001
13694,4,50,22425.325,5,5,5,555,Champions,1121266.25
14606,1,90,10898.77,5,5,5,555,Champions,980889.3
13798,1,57,16215.045,5,5,5,555,Champions,924257.5650000001
16029,39,62,14778.695,3,5,5,355,Loyal Customers,916279.09
15039,10,47,18294.355,5,5,5,555,Champions,859834.6849999999
14096,4,17,47702.565,5,5,5,555,Champions,810943.605
12415,24,20,39150.76,4,5,5,455,Champions,783015.2000000001
16422,17,51,15325.145,4,5,5,455,Champions,781582.395
12971,4,86,8529.08,5,5,5,555,Champions,733500.88
17675,1,31,19343.8,5,5,5,555,Champions,599657.7999999999
12921,9,37,15989.145,5,5,5,555,Champions,591598.365
13098,1,28,19937.155,5,5,5,555,Champions,558240.34
17389,1,34,16338.58,5,5,5,555,Champions,555511.72
15159,2,30,17558.045000000002,5,5,5,555,Champions,526741.3500000001
14088,10,13,40257.98,5,5,5,555,Champions,523353.74000000005
15189,1,41,11452.98,5,5,5,555,Champions,469572.18
16013,4,47,9891.685,5,5,5,555,Champions,464909.19499999995
13767,2,37,12462.37,5,5,5,555,Champions,461107.69
16684,4,28,15838.83,5,5,5,555,Champions,443487.24
14527,3,55,7707.63,5,5,5,555,Champions,423919.65
12471,2,27,13615.515,5,5,5,555,Champions,367618.90499999997
16839,9,34,10585.26,5,5,5,555,Champions,359898.84
15856,4,27,13169.435,5,5,5,555,Champions,355574.745
15498,3,27,12690.45,5,5,5,555,Champions,342642.15
16133,4,33,10132.86,5,5,5,555,Champions,334384.38
14051,1,23,14162.875,5,5,5,555,Champions,325746.125
17428,1,28,11336.775,5,5,5,555,Champions,317429.7
13777,1,33,9427.2,5,5,5,555,Champions,311097.60000000003
15078,7,32,9677.535,5,5,5,555,Champions,309681.12
12682,4,31,9909.025,5,5,5,555,Champions,307179.77499999997
13319,5,26,10399.7,5,5,5,555,Champions,270392.2
13081,12,11,24513.09,5,5,5,555,Champions,269643.99
17811,4,39,6897.92,5,5,5,555,Champions,269018.88
17949,1,44,6052.11,5,5,5,555,Champions,266292.83999999997
13078,3,26,10215.975,5,5,5,555,Champions,265615.35000000003
12681,15,22,11684.039999999999,4,5,5,455,Champions,257048.87999999998
17581,1,25,10185.925,5,5,5,555,Champions,254648.12499999997
13263,1,34,7222.785,5,5,5,555,Champions,245574.69
17735,2,19,12895.28,5,5,5,555,Champions,245010.32
16525,2,26,9360.785,5,5,5,555,Champions,243380.41
17677,2,30,7951.965,5,5,5,555,Champions,238558.95
15513,33,19,12432.65,4,5,5,455,Champions,236220.35
14194,5,21,10883.135,5,5,5,555,Champions,228545.835
15615,10,23,9903.63,5,5,5,555,Champions,227783.49
16705,1,20,11370.48,5,5,5,555,Champions,227409.59999999998
13199,4,37,6045.99,5,5,5,555,Champions,223701.63
13113,1,24,8974.13,5,5,5,555,Champions,215379.12
14031,7,19,11176.24,5,5,5,555,Champions,212348.56
14667,11,25,8392.025,5,5,5,555,Champions,209800.625
14895,8,20,10392.065,5,5,5,555,Champions,207841.30000000002
14680,25,16,12935.925,4,5,5,455,Champions,206974.8
12621,2,20,10333.74,5,5,5,555,Champions,206674.8
